date,q120,q55,q64,q66,q69
2014-01-12 07:00:00,-1.0,-8.03,-4.62,-1.54,-9.07
2014-01-12 09:00:00,-0.99,-8.01,-4.63,-1.55,-9.08
2014-01-12 11:00:00,-1.0,-8.0,-4.62,-1.56,-9.09
2014-01-12 13:00:00,-1.0,-7.99,-4.61,-1.55,-9.07
2014-01-12 15:00:00,-1.0,-8.01,-4.6,-1.54,-9.06
2014-01-12 17:00:00,-1.0,-8.05,-4.61,-1.55,-9.06
2014-01-12 19:00:00,-1.0,-8.03,-4.62,-1.55,-9.06
2014-01-12 21:00:00,-1.0,-8.01,-4.62,-1.55,-9.07
2014-01-12 23:00:00,-1.0,-8.03,-4.62,-1.55,-9.08
2014-01-13 01:00:00,-1.0,-8.02,-4.62,-1.55,-9.07
2014-01-13 03:00:00,-1.0,-7.99,-4.62,-1.53,-9.07
2014-01-13 05:00:00,-1.0,-7.96,-4.62,-1.54,-9.07
2014-01-13 07:00:00,-1.0,-7.97,-4.62,-1.54,-9.17
2014-01-13 09:00:00,-1.0,-7.99,-4.64,-1.55,-9.12
2014-01-13 11:00:00,-1.01,-8.04,-4.63,-1.56,-9.12
2014-01-13 13:00:00,-1.01,-8.02,-4.61,-1.57,-9.1
2014-01-13 15:00:00,-1.0,-8.0,-4.61,-1.56,-9.09
2014-01-13 17:00:00,-1.0,-7.98,-4.61,-1.56,-9.09
2014-01-13 19:00:00,-1.0,-7.99,-4.62,-1.57,-9.11
2014-01-13 21:00:00,-1.0,-7.97,-4.63,-1.57,-9.12
2014-01-13 23:00:00,-1.01,-7.95,-4.62,-1.56,-9.12
2014-01-14 01:00:00,-1.01,-7.93,-4.62,-1.56,-9.12
2014-01-14 03:00:00,-1.01,-7.9,-4.62,-1.55,-9.11
2014-01-14 05:00:00,-1.01,-7.88,-4.62,-1.55,-9.11
2014-01-14 07:00:00,-1.01,-7.85,-4.63,-1.55,-9.15
2014-01-14 09:00:00,-1.01,-7.84,-4.64,-1.56,-9.12
2014-01-14 11:00:00,-1.01,-7.9,-4.63,-1.56,-9.11
2014-01-14 13:00:00,-1.02,-7.9,-4.61,-1.56,-9.09
2014-01-14 15:00:00,-1.01,-7.89,-4.61,-1.56,-9.21
2014-01-14 17:00:00,-1.01,-7.88,-4.61,-1.56,-9.11
2014-01-14 19:00:00,-1.01,-7.91,-4.61,-1.56,-9.07
2014-01-14 21:00:00,-1.01,-7.91,-4.62,-1.56,-9.07
2014-01-14 23:00:00,-1.01,-7.9,-4.63,-1.56,-9.07
2014-01-15 01:00:00,-1.01,-7.9,-4.62,-1.56,-9.06
2014-01-15 03:00:00,-1.02,-7.88,-4.62,-1.55,-9.05
2014-01-15 05:00:00,-1.01,-7.86,-4.62,-1.55,-9.07
2014-01-15 07:00:00,-1.01,-7.84,-4.63,-1.55,-9.08
2014-01-15 09:00:00,-1.02,-7.93,-4.64,-1.56,-9.09
2014-01-15 11:00:00,-1.02,-7.88,-4.63,-1.56,-9.11
2014-01-15 13:00:00,-1.02,-7.86,-4.61,-1.55,-9.1
2014-01-15 15:00:00,-1.02,-7.86,-4.61,-1.55,-9.08
2014-01-15 17:00:00,-1.02,-7.86,-4.61,-1.55,-9.08
2014-01-15 19:00:00,-1.01,-7.88,-4.62,-1.55,-9.1
2014-01-15 21:00:00,-1.01,-7.87,-4.62,-1.55,-9.15
2014-01-15 23:00:00,-1.02,-7.87,-4.62,-1.55,-9.11
2014-01-16 01:00:00,-1.02,-7.85,-4.62,-1.55,-9.07
2014-01-16 03:00:00,-1.02,-7.86,-4.62,-1.55,-9.05
2014-01-16 05:00:00,-1.02,-7.84,-4.62,-1.54,-9.03
2014-01-16 07:00:00,-1.02,-7.82,-4.63,-1.55,-9.05
2014-01-16 09:00:00,-1.02,-7.86,-4.63,-1.55,-9.06
2014-01-16 11:00:00,-1.03,-7.86,-4.63,-1.56,-9.06
2014-01-16 13:00:00,-1.02,-7.84,-4.61,-1.55,-9.07
2014-01-16 15:00:00,-1.02,-7.86,-4.61,-1.55,-9.09
2014-01-16 17:00:00,-1.01,-7.88,-4.61,-1.55,-9.09
2014-01-16 19:00:00,-1.02,-7.93,-4.62,-1.56,-9.08
2014-01-16 21:00:00,-1.02,-7.9,-4.63,-1.56,-9.09
2014-01-16 23:00:00,-1.02,-7.89,-4.63,-1.56,-9.08
2014-01-17 01:00:00,-1.02,-7.87,-4.62,-1.55,-9.08
2014-01-17 03:00:00,-1.02,-7.85,-4.62,-1.55,-9.08
2014-01-17 05:00:00,-1.02,-7.82,-4.63,-1.54,-9.08
2014-01-17 07:00:00,-1.02,-7.79,-4.64,-1.54,-9.11
2014-01-17 09:00:00,-1.02,-7.77,-4.65,-1.55,-9.13
2014-01-17 11:00:00,-1.03,-7.82,-4.64,-1.55,-9.09
2014-01-17 13:00:00,-1.03,-7.88,-4.62,-1.55,-9.05
2014-01-17 15:00:00,-1.03,-7.92,-4.62,-1.54,-9.05
2014-01-17 17:00:00,-1.03,-7.95,-4.62,-1.54,-9.06
2014-01-17 19:00:00,-1.03,-7.97,-4.63,-1.54,-9.07
2014-01-17 21:00:00,-1.03,-7.99,-4.64,-1.54,-9.09
2014-01-17 23:00:00,-1.03,-8.01,-4.64,-1.54,-9.1
2014-01-18 01:00:00,-1.03,-8.01,-4.64,-1.53,-9.09
2014-01-18 03:00:00,-1.03,-8.01,-4.63,-1.53,-9.09
2014-01-18 05:00:00,-1.03,-8.0,-4.64,-1.53,-9.16
2014-01-18 07:00:00,-1.03,-7.95,-4.65,-1.53,-9.16
2014-01-18 09:00:00,-1.03,-7.91,-4.66,-1.54,-9.14
2014-01-18 11:00:00,-1.03,-7.88,-4.64,-1.54,-9.11
2014-01-18 13:00:00,-1.04,-7.86,-4.62,-1.54,-9.14
2014-01-18 15:00:00,-1.03,-7.84,-4.62,-1.54,-9.15
2014-01-18 17:00:00,-1.03,-7.84,-4.63,-1.54,-9.09
2014-01-18 19:00:00,-1.03,-7.95,-4.63,-1.55,-9.08
2014-01-18 21:00:00,-1.03,-7.92,-4.64,-1.55,-9.08
2014-01-18 23:00:00,-1.03,-7.96,-4.64,-1.55,-9.07
2014-01-19 01:00:00,-1.03,-7.99,-4.63,-1.54,-9.1
2014-01-19 03:00:00,-1.04,-8.05,-4.63,-1.54,-9.13
2014-01-19 05:00:00,-1.03,-8.05,-4.63,-1.53,-9.08
2014-01-19 07:00:00,-1.03,-8.03,-4.64,-1.53,-9.07
2014-01-19 09:00:00,-1.03,-8.03,-4.65,-1.53,-9.08
2014-01-19 11:00:00,-1.04,-8.06,-4.64,-1.54,-9.14
2014-01-19 13:00:00,-1.04,-8.03,-4.62,-1.53,-9.08
2014-01-19 15:00:00,-1.03,-8.0,-4.62,-1.53,-9.06
2014-01-19 17:00:00,-1.03,-7.99,-4.62,-1.53,-9.09
2014-01-19 19:00:00,-1.03,-8.0,-4.63,-1.53,-9.07
2014-01-19 21:00:00,-1.03,-8.0,-4.64,-1.54,-9.06
2014-01-19 23:00:00,-1.03,-8.01,-4.64,-1.54,-9.06
2014-01-20 01:00:00,-1.03,-8.0,-4.64,-1.54,-9.09
2014-01-20 03:00:00,-1.04,-7.98,-4.63,-1.54,-9.1
2014-01-20 05:00:00,-1.03,-7.96,-4.64,-1.54,-9.07
2014-01-20 07:00:00,-1.04,-7.94,-4.65,-1.54,-9.06
2014-01-20 09:00:00,-1.04,-7.94,-4.65,-1.55,-9.05
2014-01-20 11:00:00,-1.04,-7.95,-4.65,-1.56,-9.07
2014-01-20 13:00:00,-1.04,-7.96,-4.63,-1.56,-9.05
2014-01-20 15:00:00,-1.04,-7.96,-4.63,-1.55,-9.05
2014-01-20 17:00:00,-1.04,-7.96,-4.64,-1.55,-9.05
2014-01-20 19:00:00,-1.04,-8.03,-4.65,-1.56,-9.07
2014-01-20 21:00:00,-1.04,-8.01,-4.65,-1.56,-9.12
2014-01-20 23:00:00,-1.04,-8.01,-4.65,-1.56,-9.07
2014-01-21 01:00:00,-1.05,-8.01,-4.65,-1.55,-9.1
2014-01-21 03:00:00,-1.05,-8.01,-4.64,-1.55,-9.08
2014-01-21 05:00:00,-1.05,-7.99,-4.65,-1.54,-9.07
2014-01-21 07:00:00,-1.05,-7.99,-4.65,-1.54,-9.08
2014-01-21 09:00:00,-1.05,-7.99,-4.66,-1.54,-9.08
2014-01-21 11:00:00,-1.05,-7.99,-4.65,-1.54,-9.09
2014-01-21 13:00:00,-1.05,-7.99,-4.64,-1.54,-9.12
2014-01-21 15:00:00,-1.05,-8.08,-4.63,-1.54,-9.06
2014-01-21 17:00:00,-1.05,-8.06,-4.64,-1.54,-9.14
2014-01-21 19:00:00,-1.04,-8.06,-4.65,-1.54,-9.08
2014-01-21 21:00:00,-1.05,-8.06,-4.65,-1.54,-9.07
2014-01-21 23:00:00,-1.05,-8.08,-4.66,-1.54,-9.08
2014-01-22 01:00:00,-1.05,-8.08,-4.65,-1.53,-9.07
2014-01-22 03:00:00,-1.05,-8.07,-4.65,-1.52,-9.07
2014-01-22 05:00:00,-1.05,-8.06,-4.65,-1.52,-9.08
2014-01-22 07:00:00,-1.06,-8.08,-4.66,-1.52,-9.09
2014-01-22 09:00:00,-1.06,-8.08,-4.66,-1.52,-9.13
2014-01-22 11:00:00,-1.06,-8.08,-4.65,-1.52,-9.14
2014-01-22 13:00:00,-1.06,-8.09,-4.64,-1.52,-9.15
2014-01-22 15:00:00,-1.06,-8.12,-4.63,-1.52,-9.11
2014-01-22 17:00:00,-1.05,-8.14,-4.64,-1.52,-9.1
2014-01-22 19:00:00,-1.05,-8.14,-4.64,-1.52,-9.11
2014-01-22 21:00:00,-1.05,-8.14,-4.65,-1.52,-9.1
2014-01-22 23:00:00,-1.05,-8.14,-4.65,-1.52,-9.08
2014-01-23 01:00:00,-1.06,-8.14,-4.64,-1.51,-9.07
2014-01-23 03:00:00,-1.06,-8.13,-4.64,-1.51,-9.06
2014-01-23 05:00:00,-1.06,-8.11,-4.64,-1.5,-9.17
2014-01-23 07:00:00,-1.06,-8.17,-4.65,-1.5,-9.09
2014-01-23 09:00:00,-1.06,-8.13,-4.66,-1.51,-9.08
2014-01-23 11:00:00,-1.06,-8.11,-4.65,-1.51,-9.07
2014-01-23 13:00:00,-1.06,-8.11,-4.63,-1.51,-9.06
2014-01-23 15:00:00,-1.06,-8.19,-4.63,-1.51,-9.06
2014-01-23 17:00:00,-1.05,-8.23,-4.63,-1.51,-9.05
2014-01-23 19:00:00,-1.05,-8.23,-4.64,-1.51,-9.06
2014-01-23 21:00:00,-1.05,-8.21,-4.64,-1.51,-9.06
2014-01-23 23:00:00,-1.05,-8.19,-4.64,-1.51,-9.05
2014-01-24 01:00:00,-1.05,-8.17,-4.63,-1.5,-9.03
2014-01-24 03:00:00,-1.05,-8.14,-4.63,-1.5,-9.03
2014-01-24 05:00:00,-1.05,-8.11,-4.63,-1.49,-9.03
2014-01-24 07:00:00,-1.06,-8.08,-4.64,-1.5,-9.04
2014-01-24 09:00:00,-1.05,-8.14,-4.64,-1.5,-9.05
2014-01-24 11:00:00,-1.06,-8.16,-4.64,-1.51,-9.05
2014-01-24 13:00:00,-1.06,-8.18,-4.62,-1.5,-9.02
2014-01-24 15:00:00,-1.05,-8.17,-4.61,-1.49,-8.99
2014-01-24 17:00:00,-1.05,-8.16,-4.62,-1.5,-8.99
2014-01-24 19:00:00,-1.05,-8.18,-4.63,-1.51,-9.03
2014-01-24 21:00:00,-1.05,-8.17,-4.64,-1.51,-8.99
2014-01-24 23:00:00,-1.05,-8.15,-4.64,-1.5,-8.99
2014-01-25 01:00:00,-1.06,-8.14,-4.64,-1.5,-8.98
2014-01-25 03:00:00,-1.06,-8.11,-4.64,-1.5,-9.0
2014-01-25 05:00:00,-1.06,-8.08,-4.65,-1.5,-9.01
2014-01-25 07:00:00,-1.06,-8.05,-4.66,-1.5,-9.09
2014-01-25 09:00:00,-1.07,-8.05,-4.66,-1.5,-9.04
2014-01-25 11:00:00,-1.07,-8.17,-4.67,-1.51,-9.06
2014-01-25 13:00:00,-1.06,-8.12,-4.68,-1.53,-9.08
2014-01-25 15:00:00,-1.07,-8.12,-4.68,-1.52,-9.07
2014-01-25 17:00:00,-1.06,-8.15,-4.68,-1.51,-9.040600000000001
2014-01-25 19:00:00,-1.07,-8.16,-4.68,-1.5,-9.18
2014-01-25 21:00:00,-1.06,-8.14,-4.66,-1.48,-9.07
2014-01-25 23:00:00,-1.07,-8.13,-4.66,-1.47,-9.03
2014-01-26 01:00:00,-1.07,-8.11,-4.65,-1.47,-9.02
2014-01-26 03:00:00,-1.07,-8.08,-4.66,-1.46,-9.0
2014-01-26 05:00:00,-1.07,-8.05,-4.66,-1.46,-9.0
2014-01-26 07:00:00,-1.06,-8.03,-4.67,-1.46,-9.0
2014-01-26 09:00:00,-1.07,-8.08,-4.68,-1.47,-9.01
2014-01-26 11:00:00,-1.07,-8.09,-4.67,-1.47,-9.02
2014-01-26 13:00:00,-1.07,-8.16,-4.65,-1.47,-9.02
2014-01-26 15:00:00,-1.07,-8.2,-4.65,-1.47,-9.01
2014-01-26 17:00:00,-1.07,-8.27,-4.65,-1.47,-9.0
2014-01-26 19:00:00,-1.07,-8.31,-4.66,-1.47,-9.0
2014-01-26 21:00:00,-1.07,-8.29,-4.67,-1.47,-9.01
2014-01-26 23:00:00,-1.07,-8.27,-4.67,-1.47,-9.02
2014-01-27 01:00:00,-1.07,-8.24,-4.66,-1.46,-9.01
2014-01-27 03:00:00,-1.07,-8.21,-4.66,-1.46,-9.01
2014-01-27 05:00:00,-1.07,-8.17,-4.66,-1.45,-9.01
2014-01-27 07:00:00,-1.07,-8.15,-4.67,-1.45,-9.02
2014-01-27 09:00:00,-1.07,-8.2,-4.68,-1.46,-9.04
2014-01-27 11:00:00,-1.07,-8.18,-4.67,-1.47,-9.05
2014-01-27 13:00:00,-1.07,-8.24,-4.66,-1.46,-9.04
2014-01-27 15:00:00,-1.06,-8.22,-4.64,-1.45,-9.01
2014-01-27 17:00:00,-1.06,-8.2,-4.65,-1.45,-9.03
2014-01-27 19:00:00,-1.06,-8.23,-4.66,-1.46,-9.02
2014-01-27 21:00:00,-1.06,-8.26,-4.66,-1.46,-9.02
2014-01-27 23:00:00,-1.06,-8.25,-4.66,-1.46,-9.04
2014-01-28 01:00:00,-1.06,-8.23,-4.66,-1.45,-9.05
2014-01-28 03:00:00,-1.07,-8.22,-4.65,-1.45,-9.0
2014-01-28 05:00:00,-1.07,-8.19,-4.66,-1.45,-9.05
2014-01-28 07:00:00,-1.07,-8.18,-4.67,-1.45,-9.02
2014-01-28 09:00:00,-1.07,-8.18,-4.68,-1.46,-9.02
2014-01-28 11:00:00,-1.07,-8.24,-4.67,-1.47,-9.01
2014-01-28 13:00:00,-1.07,-8.24,-4.66,-1.46,-9.02
2014-01-28 15:00:00,-1.07,-8.22,-4.65,-1.46,-9.01
2014-01-28 17:00:00,-1.07,-8.28,-4.66,-1.46,-9.02
2014-01-28 19:00:00,-1.07,-8.27,-4.67,-1.46,-9.02
2014-01-28 21:00:00,-1.07,-8.26,-4.67,-1.46,-9.06
2014-01-28 23:00:00,-1.07,-8.26,-4.67,-1.46,-9.05
2014-01-29 01:00:00,-1.07,-8.26,-4.67,-1.46,-9.06
2014-01-29 03:00:00,-1.07,-8.24,-4.66,-1.45,-9.03
2014-01-29 05:00:00,-1.07,-8.21,-4.66,-1.45,-9.03
2014-01-29 07:00:00,-1.07,-8.19,-4.67,-1.45,-9.08
2014-01-29 09:00:00,-1.07,-8.26,-4.68,-1.46,-9.07
2014-01-29 11:00:00,-1.07,-8.45,-4.68,-1.46,-9.06
2014-01-29 13:00:00,-1.07,-8.37,-4.66,-1.46,-9.04
2014-01-29 15:00:00,-1.07,-8.32,-4.66,-1.45,-9.09
2014-01-29 17:00:00,-1.07,-8.33,-4.66,-1.45,-9.05
2014-01-29 19:00:00,-1.07,-8.37,-4.67,-1.46,-9.04
2014-01-29 21:00:00,-1.07,-8.35,-4.67,-1.45,-9.05
2014-01-29 23:00:00,-1.07,-8.34,-4.67,-1.45,-9.06
2014-01-30 01:00:00,-1.07,-8.33,-4.67,-1.45,-9.04
2014-01-30 03:00:00,-1.07,-8.32,-4.67,-1.44,-9.05
2014-01-30 05:00:00,-1.07,-8.29,-4.67,-1.44,-9.07
2014-01-30 07:00:00,-1.07,-8.26,-4.68,-1.44,-9.06
2014-01-30 09:00:00,-1.07,-8.27,-4.69,-1.45,-9.04
2014-01-30 11:00:00,-1.07,-8.32,-4.68,-1.45,-9.09
2014-01-30 13:00:00,-1.07,-8.33,-4.67,-1.45,-9.04
2014-01-30 15:00:00,-1.07,-8.36,-4.66,-1.45,-9.01
2014-01-30 17:00:00,-1.06,-8.45,-4.66,-1.45,-9.1
2014-01-30 19:00:00,-1.06,-8.55,-4.67,-1.45,-9.03
2014-01-30 21:00:00,-1.07,-8.72,-4.67,-1.46,-9.02
2014-01-30 23:00:00,-1.07,-8.72,-4.67,-1.46,-9.02
2014-01-31 01:00:00,-1.07,-8.71,-4.67,-1.45,-9.02
2014-01-31 03:00:00,-1.07,-8.7,-4.66,-1.45,-9.03
2014-01-31 05:00:00,-1.07,-8.67,-4.67,-1.44,-9.06
2014-01-31 07:00:00,-1.07,-8.65,-4.68,-1.44,-9.02
2014-01-31 09:00:00,-1.07,-8.63,-4.68,-1.44,-9.01
2014-01-31 11:00:00,-1.07,-8.61,-4.68,-1.45,-9.01125
